"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00041312","CALISTOGA, CA US","1980-05-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-30","0.06",,,
"USC00041312","CALISTOGA, CA US","1980-05-31","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-04","0.24",,,
"USC00041312","CALISTOGA, CA US","1980-06-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-06-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-02","0.05",,,
"USC00041312","CALISTOGA, CA US","1980-07-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-04","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-07-31","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-04","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-08-31","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-04","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-09-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-01","0.05",,,
"USC00041312","CALISTOGA, CA US","1980-10-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-04","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-11",,,,
"USC00041312","CALISTOGA, CA US","1980-10-12",,,,
"USC00041312","CALISTOGA, CA US","1980-10-13",,,,
"USC00041312","CALISTOGA, CA US","1980-10-14",,,,
"USC00041312","CALISTOGA, CA US","1980-10-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-10-31","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-04","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-07","0.25",,,
"USC00041312","CALISTOGA, CA US","1980-11-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-12","0.00",,,
