"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00047965","SANTA ROSA, CA US","1986-06-08","0.00",,"82","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-09","0.00",,"93","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-10","0.00",,"76","58",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-11","0.00",,"68","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-12","0.00",,"65","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-13","0.00",,"65","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-14","0.00",,"69","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-15","0.00",,"72","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-16","0.00",,"71","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-17","0.00",,"68","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-18","0.00",,"77","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-19","0.00",,"78","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-20","0.00",,"80","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-21","0.00",,"84","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-22","0.00",,"87","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-23","0.00",,"82","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-24","0.00",,"72","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-25","0.00",,"71","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-26","0.00",,"68","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-27","0.00",,"67","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-28","0.00",,"73","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-29","0.00",,"77","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-30","0.00",,"81","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-01","0.00",,"86","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-02","0.00",,"82","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-03","0.00",,"80","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-04","0.00",,"80","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-05","0.00",,"80","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-06","0.00",,"74","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-07","0.00",,"69","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-08","0.00",,"74","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-09","0.00",,"75","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-10","0.00",,"86","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-11","0.00",,"87","55",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-12","0.00",,"84","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-13","0.00",,"74","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-14","0.00",,"74","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-15","0.00",,"70","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-16","0.00",,"77","65",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-17","0.00",,"76","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-18","0.00",,"69","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-19","0.00",,"80","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-20","0.00",,"86","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-21","0.00",,"80","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-22","0.00",,"74","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-23","0.00",,"71","55",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-24","0.00",,"73","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-25","0.00",,"65","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-26","0.00",,"64","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-27","0.00",,"66","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-28","0.00",,"70","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-29","0.00",,"77","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-30","0.00",,"89","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-07-31","0.00",,"83","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-01","0.00",,"76","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-02","0.00",,"74","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-03","0.00",,"82","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-04","0.00",,"80","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-05","0.00",,"74","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-06","0.00",,"72","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-07","0.00",,"69","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-08","0.00",,"69","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-09","0.00",,"69","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-10","0.00",,"70","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-11","0.00",,"74","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-12","0.00",,"71","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-13","0.00",,"71","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-14","0.00",,"71","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-15","0.00",,"66","54",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-16","0.00",,"69","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-17","0.00",,"72","55",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-18","0.00",,"82","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-19","0.00",,"87","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-20","0.00",,"82","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-21","0.00",,"73","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-22","0.00",,"67","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-23","0.00",,"75","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-24","0.00",,"74","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-25","0.00",,"76","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-26","0.00",,"72","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-27","0.00",,"73","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-28","0.00",,"70","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-29","0.00",,"73","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-30","0.00",,"79","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-08-31","0.00",,"81","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-01","0.00",,"82","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-02","0.00",,"73","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-03","0.00",,"69","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-04","0.00",,"72","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-05","0.00",,"76","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-06","0.00",,"75","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-07","0.00",,"64","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-08","0.00",,"68","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-09","0.00",,"76","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-10","0.00",,"82","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-11","0.00",,"86","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-12","0.00",,"68","55",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-13","0.00",,"75","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-14","0.00",,"67","63",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-15","0.00",,"71","56",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-16","1.54",,"72","55",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-17","0.07",,"73","59",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-18","0.01",,"69","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-19","0.20",,"67","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-20","0.00",,"74","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-21","0.00",,"68","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-22","0.00",,"72","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-23","0.00",,"71","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-24","0.55",,"62","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-25","0.02",,"62","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-26","0.02",,"61","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-27","0.34",,"65","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-28","0.00",,"72","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-29","0.00",,"74","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-09-30","0.00",,"72","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-01","0.00",,"74","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-02","0.00",,"75","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-03","0.00",,"79","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-04","0.00",,"84","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-05","0.00",,"84","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-06","0.00",,"82","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-07","0.00",,"81","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-08","0.00",,"77","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-09","0.00",,"69","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-10","0.00",,"61","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-11","0.00",,"57","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-12","0.00",,"63","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-10-13","0.00",,"76","40",,,,,,,,,,,
